Date,Value
1981-09-17,71.8009127
1981-09-18,71.97130351
1981-09-19,72.15976043
1981-09-20,72.32778596
1981-09-21,72.4516142
1981-09-22,72.56170608
1981-09-23,72.72467531
1981-09-24,72.87288186
1981-09-25,73.04839945
1981-09-26,73.14394011
